source,feature,status,reason,group
clean_dataset.csv,payment_method,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,payment_channel
clean_dataset.csv,quantity,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,price_amount
clean_dataset.csv,unit_price,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,price_amount
clean_dataset.csv,tier_discount_pct,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,promotion_discount
clean_dataset.csv,campaign_discount_pct,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,promotion_discount
clean_dataset.csv,total_discount_pct,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,promotion_discount
clean_dataset.csv,discount_applied_amount,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,promotion_discount
clean_dataset.csv,total_amount,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,price_amount
clean_dataset.csv,delivery_time_expected_days,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,logistics
clean_dataset.csv,delivery_days,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,logistics
clean_dataset.csv,delay_days,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,logistics
clean_dataset.csv,is_repurchased_item,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,other
clean_dataset.csv,order_hour,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,time
clean_dataset.csv,days_since_last_order,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,customer_history
clean_dataset.csv,hist_order_count,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,customer_history
clean_dataset.csv,hist_return_rate,used_source_or_encoded,ใช้ตรงหรือถูก encode/derive เป็น model feature,customer_history
clean_dataset.csv,return_id,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,other
clean_dataset.csv,return_date,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,other
clean_dataset.csv,return_reason,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,other
clean_dataset.csv,return_scenario,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,other
clean_dataset.csv,item_condition,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,other
clean_dataset.csv,return_status,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,other
clean_dataset.csv,refund_amount,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,price_amount
clean_dataset.csv,score_id,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,other
clean_dataset.csv,risk_score,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,other
clean_dataset.csv,risk_tier,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,other
clean_dataset.csv,scored_at,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,other
clean_dataset.csv,shap_values,dropped,post-event/leakage field ไม่ควรใช้กับ training หรือ order-time scoring,other
clean_dataset.csv,is_returned,target,target label ไม่ใช่ input feature,other
docs\version 2\data\features\df_engineered_v2_preview.csv,gender,used_exact,อยู่ใน model feature list โดยตรง,customer_profile
docs\version 2\data\features\df_engineered_v2_preview.csv,age,used_exact,อยู่ใน model feature list โดยตรง,customer_profile
docs\version 2\data\features\df_engineered_v2_preview.csv,membership_tier,used_exact,อยู่ใน model feature list โดยตรง,customer_profile
docs\version 2\data\features\df_engineered_v2_preview.csv,province,used_exact,อยู่ใน model feature list โดยตรง,customer_profile
docs\version 2\data\features\df_engineered_v2_preview.csv,customer_age_days,used_exact,อยู่ใน model feature list โดยตรง,customer_profile
docs\version 2\data\features\df_engineered_v2_preview.csv,category,used_exact,อยู่ใน model feature list โดยตรง,product_category
docs\version 2\data\features\df_engineered_v2_preview.csv,brand,used_exact,อยู่ใน model feature list โดยตรง,product_category
docs\version 2\data\features\df_engineered_v2_preview.csv,product_rating,used_exact,อยู่ใน model feature list โดยตรง,product_category
docs\version 2\data\features\df_engineered_v2_preview.csv,courier_name,used_exact,อยู่ใน model feature list โดยตรง,logistics
docs\version 2\data\features\df_engineered_v2_preview.csv,courier_type,used_exact,อยู่ใน model feature list โดยตรง,logistics
docs\version 2\data\features\df_engineered_v2_preview.csv,avg_delivery_days,used_exact,อยู่ใน model feature list โดยตรง,logistics
docs\version 2\data\features\df_engineered_v2_preview.csv,damage_rate,used_exact,อยู่ใน model feature list โดยตรง,logistics
docs\version 2\data\features\df_engineered_v2_preview.csv,promo_name,used_exact,อยู่ใน model feature list โดยตรง,promotion_discount
docs\version 2\data\features\df_engineered_v2_preview.csv,promo_type,used_exact,อยู่ใน model feature list โดยตรง,promotion_discount
docs\version 2\data\features\df_engineered_v2_preview.csv,promo_discount_rate,used_exact,อยู่ใน model feature list โดยตรง,promotion_discount
docs\version 2\data\features\df_engineered_v2_preview.csv,channel_type,used_exact,อยู่ใน model feature list โดยตรง,payment_channel
docs\version 2\data\features\df_engineered_v2_preview.csv,payment_method,used_exact,อยู่ใน model feature list โดยตรง,payment_channel
docs\version 2\data\features\df_engineered_v2_preview.csv,quantity,used_exact,อยู่ใน model feature list โดยตรง,price_amount
docs\version 2\data\features\df_engineered_v2_preview.csv,unit_price,used_exact,อยู่ใน model feature list โดยตรง,price_amount
docs\version 2\data\features\df_engineered_v2_preview.csv,tier_discount_pct,used_exact,อยู่ใน model feature list โดยตรง,promotion_discount
docs\version 2\data\features\df_engineered_v2_preview.csv,campaign_discount_pct,used_exact,อยู่ใน model feature list โดยตรง,promotion_discount
docs\version 2\data\features\df_engineered_v2_preview.csv,total_discount_pct,used_exact,อยู่ใน model feature list โดยตรง,promotion_discount
docs\version 2\data\features\df_engineered_v2_preview.csv,discount_applied_amount,used_exact,อยู่ใน model feature list โดยตรง,promotion_discount
docs\version 2\data\features\df_engineered_v2_preview.csv,total_amount,used_exact,อยู่ใน model feature list โดยตรง,price_amount
docs\version 2\data\features\df_engineered_v2_preview.csv,delivery_time_expected_days,used_exact,อยู่ใน model feature list โดยตรง,logistics
docs\version 2\data\features\df_engineered_v2_preview.csv,delivery_days,used_exact,อยู่ใน model feature list โดยตรง,logistics
docs\version 2\data\features\df_engineered_v2_preview.csv,delay_days,used_exact,อยู่ใน model feature list โดยตรง,logistics
docs\version 2\data\features\df_engineered_v2_preview.csv,is_repurchased_item,used_exact,อยู่ใน model feature list โดยตรง,other
docs\version 2\data\features\df_engineered_v2_preview.csv,order_hour,used_exact,อยู่ใน model feature list โดยตรง,time
docs\version 2\data\features\df_engineered_v2_preview.csv,days_since_last_order,used_exact,อยู่ใน model feature list โดยตรง,customer_history
docs\version 2\data\features\df_engineered_v2_preview.csv,hist_order_count,used_exact,อยู่ใน model feature list โดยตรง,customer_history
docs\version 2\data\features\df_engineered_v2_preview.csv,hist_return_rate,used_exact,อยู่ใน model feature list โดยตรง,customer_history
docs\version 2\data\features\df_engineered_v2_preview.csv,customer_tenure_months,used_exact,อยู่ใน model feature list โดยตรง,customer_profile
docs\version 2\data\features\df_engineered_v2_preview.csv,order_month,used_exact,อยู่ใน model feature list โดยตรง,time
docs\version 2\data\features\df_engineered_v2_preview.csv,order_dayofweek,used_exact,อยู่ใน model feature list โดยตรง,time
docs\version 2\data\features\df_engineered_v2_preview.csv,is_weekend,used_exact,อยู่ใน model feature list โดยตรง,time
docs\version 2\data\features\df_engineered_v2_preview.csv,age_group,used_exact,อยู่ใน model feature list โดยตรง,customer_profile
docs\version 2\data\features\df_engineered_v2_preview.csv,logistics_risk,used_exact,อยู่ใน model feature list โดยตรง,logistics
docs\version 2\data\features\df_engineered_v2_preview.csv,is_returned,target,target label,other
