feature,feature_group,in_clean_dataset_exact,in_engineered_dataset_exact,encoded_or_generated,note
channel_type_Mobile_App,payment_channel,False,True,False,model input feature
channel_type_Shopee,payment_channel,False,True,False,model input feature
channel_type_TV_Show,payment_channel,False,True,False,model input feature
channel_type_TikTok,payment_channel,False,True,False,model input feature
payment_method_Bank_Transfer,payment_channel,False,True,False,model input feature
payment_method_COD,payment_channel,False,True,False,model input feature
payment_method_Credit_Card,payment_channel,False,True,False,model input feature
age_group_26_35,customer_profile,False,True,False,model input feature
age_group_36_45,customer_profile,False,True,False,model input feature
age_group_46_55,customer_profile,False,True,False,model input feature
age_group_56_,customer_profile,False,True,False,model input feature
age_group_25,customer_profile,False,True,False,model input feature
category_payment_Cosmetics_Bank_Transfer,product_category,False,True,False,model input feature
category_payment_Cosmetics_COD,product_category,False,True,False,model input feature
category_payment_Cosmetics_Credit_Card,product_category,False,True,False,model input feature
category_payment_Electronics_Bank_Transfer,product_category,False,True,False,model input feature
category_payment_Electronics_COD,product_category,False,True,False,model input feature
category_payment_Electronics_Credit_Card,product_category,False,True,False,model input feature
category_payment_Fashion_Bank_Transfer,product_category,False,True,False,model input feature
category_payment_Fashion_COD,product_category,False,True,False,model input feature
category_payment_Fashion_Credit_Card,product_category,False,True,False,model input feature
category_payment_Home_Appliance_Bank_Transfer,product_category,False,True,False,model input feature
category_payment_Home_Appliance_COD,product_category,False,True,False,model input feature
category_payment_Home_Appliance_Credit_Card,product_category,False,True,False,model input feature
category_payment_Supplement_Bank_Transfer,product_category,False,True,False,model input feature
category_payment_Supplement_COD,product_category,False,True,False,model input feature
category_payment_Supplement_Credit_Card,product_category,False,True,False,model input feature
category_channel_Cosmetics_Mobile_App,product_category,False,True,False,model input feature
category_channel_Cosmetics_Shopee,product_category,False,True,False,model input feature
category_channel_Cosmetics_TV_Show,product_category,False,True,False,model input feature
category_channel_Cosmetics_TikTok,product_category,False,True,False,model input feature
category_channel_Electronics_Mobile_App,product_category,False,True,False,model input feature
category_channel_Electronics_Shopee,product_category,False,True,False,model input feature
category_channel_Electronics_TV_Show,product_category,False,True,False,model input feature
category_channel_Electronics_TikTok,product_category,False,True,False,model input feature
category_channel_Fashion_Mobile_App,product_category,False,True,False,model input feature
category_channel_Fashion_Shopee,product_category,False,True,False,model input feature
category_channel_Fashion_TV_Show,product_category,False,True,False,model input feature
category_channel_Fashion_TikTok,product_category,False,True,False,model input feature
category_channel_Home_Appliance_Mobile_App,product_category,False,True,False,model input feature
category_channel_Home_Appliance_Shopee,product_category,False,True,False,model input feature
category_channel_Home_Appliance_TV_Show,product_category,False,True,False,model input feature
category_channel_Home_Appliance_TikTok,product_category,False,True,False,model input feature
category_channel_Supplement_Mobile_App,product_category,False,True,False,model input feature
category_channel_Supplement_Shopee,product_category,False,True,False,model input feature
category_channel_Supplement_TV_Show,product_category,False,True,False,model input feature
category_channel_Supplement_TikTok,product_category,False,True,False,model input feature
province_payment_Bangkok_Bank_Transfer,payment_channel,False,True,False,model input feature
province_payment_Bangkok_COD,payment_channel,False,True,False,model input feature
province_payment_Bangkok_Credit_Card,payment_channel,False,True,False,model input feature
province_payment_Chiang_Mai_Bank_Transfer,payment_channel,False,True,False,model input feature
province_payment_Chiang_Mai_COD,payment_channel,False,True,False,model input feature
province_payment_Chiang_Mai_Credit_Card,payment_channel,False,True,False,model input feature
province_payment_Chonburi_Bank_Transfer,payment_channel,False,True,False,model input feature
province_payment_Chonburi_COD,payment_channel,False,True,False,model input feature
province_payment_Chonburi_Credit_Card,payment_channel,False,True,False,model input feature
province_payment_Khon_Kaen_Bank_Transfer,payment_channel,False,True,False,model input feature
province_payment_Khon_Kaen_COD,payment_channel,False,True,False,model input feature
province_payment_Khon_Kaen_Credit_Card,payment_channel,False,True,False,model input feature
province_payment_Nonthaburi_Bank_Transfer,payment_channel,False,True,False,model input feature
province_payment_Nonthaburi_COD,payment_channel,False,True,False,model input feature
province_payment_Nonthaburi_Credit_Card,payment_channel,False,True,False,model input feature
province_payment_Phuket_Bank_Transfer,payment_channel,False,True,False,model input feature
province_payment_Phuket_COD,payment_channel,False,True,False,model input feature
province_payment_Phuket_Credit_Card,payment_channel,False,True,False,model input feature
province_payment_Remote_Area_Bank_Transfer,payment_channel,False,True,False,model input feature
province_payment_Remote_Area_COD,payment_channel,False,True,False,model input feature
province_payment_Remote_Area_Credit_Card,payment_channel,False,True,False,model input feature
province_payment_Songkhla_Bank_Transfer,payment_channel,False,True,False,model input feature
province_payment_Songkhla_COD,payment_channel,False,True,False,model input feature
province_payment_Songkhla_Credit_Card,payment_channel,False,True,False,model input feature
