benchmark,runtime_type,set_name,version,predicted_rows,feature_count,data_load_seconds,model_load_seconds,predict_seconds_avg,predict_seconds_min,predict_seconds_max,rows_per_second_avg,milliseconds_per_1000_rows_avg,estimated_from_set,model_path,feature_source_path
LightGBM_High_Signal,estimated_external_inference_from_clean_per_row_speed,"SETD/S3 real 55,000 external estimated inference",V1,55000,25,0.0,10.26187310000023,1.5293549333327974,1.5293549333327974,1.5293549333327974,35962.87480509382,27.80645333332359,SETC/S1 clean full featured,docs\LightGBM\SETC\clean_dataset\S1\V1\models\model_lgbm_s1_v1_lightgbm.pkl,
LightGBM_High_Signal,estimated_external_inference_from_clean_per_row_speed,"SETD/S4 real 105,000 external estimated inference",V1,105000,25,0.0,0.010564199998043478,0.7324821699981839,0.7324821699981839,0.7324821699981839,143348.19917904667,6.976020666649371,SETC/S2 clean full featured,docs\LightGBM\SETC\clean_dataset\S2\V1\models\model_lgbm_s2_v1_lightgbm.pkl,
LightGBM_High_Signal,estimated_external_inference_from_clean_per_row_speed,"SETD/S3 real 55,000 external estimated inference",V2,55000,64,0.0,0.010007500000938307,0.8746939666743856,0.8746939666743856,0.8746939666743856,62879.13498376096,15.90352666680701,SETC/S1 clean full featured,docs\LightGBM\SETC\clean_dataset\S1\V2\models\model_lgbm_s1_v2_lightgbm.pkl,
LightGBM_High_Signal,estimated_external_inference_from_clean_per_row_speed,"SETD/S4 real 105,000 external estimated inference",V2,105000,64,0.0,0.011068499999964843,1.0347221500000159,1.0347221500000159,1.0347221500000159,101476.51715003722,9.854496666666819,SETC/S2 clean full featured,docs\LightGBM\SETC\clean_dataset\S2\V2\models\model_lgbm_s2_v2_lightgbm.pkl,
LightGBM_High_Signal,estimated_external_inference_from_clean_per_row_speed,"SETD/S3 real 55,000 external estimated inference",V3,55000,81,0.0,0.006344299999909708,0.6700198999969871,0.6700198999969871,0.6700198999969871,82087.11412936739,12.18217999994522,SETC/S1 clean full featured,docs\LightGBM\SETC\clean_dataset\S1\V3\models\model_lgbm_s1_v3_lightgbm.pkl,
LightGBM_High_Signal,estimated_external_inference_from_clean_per_row_speed,"SETD/S4 real 105,000 external estimated inference",V3,105000,81,0.0,0.011302200000500306,1.0500070699978097,1.0500070699978097,1.0500070699978097,99999.32667140901,10.000067333312472,SETC/S2 clean full featured,docs\LightGBM\SETC\clean_dataset\S2\V3\models\model_lgbm_s2_v3_lightgbm.pkl,
LightGBM_High_Signal,estimated_external_inference_from_clean_per_row_speed,"SETD/S3 real 55,000 external estimated inference",V4,55000,107,0.0,0.007149499997467501,1.0841075666648976,1.0841075666648976,1.0841075666648976,50732.97308421125,19.711046666634505,SETC/S1 clean full featured,docs\LightGBM\SETC\clean_dataset\S1\V4\models\model_lgbm_s1_v4_lightgbm.pkl,
LightGBM_High_Signal,estimated_external_inference_from_clean_per_row_speed,"SETD/S4 real 105,000 external estimated inference",V4,105000,107,0.0,0.009042400000907946,1.253185499999745,1.253185499999745,1.253185499999745,83786.47853811058,11.93509999999757,SETC/S2 clean full featured,docs\LightGBM\SETC\clean_dataset\S2\V4\models\model_lgbm_s2_v4_lightgbm.pkl,
LightGBM_High_Signal,estimated_external_inference_from_clean_per_row_speed,"SETD/S3 real 55,000 external estimated inference",V5,55000,64,0.0,0.006535600001370767,0.6660496333255044,0.6660496333255044,0.6660496333255044,82576.42861447386,12.10999333319099,SETC/S1 clean full featured,docs\LightGBM\SETC\clean_dataset\S1\V5\models\model_lgbm_s1_v5_lightgbm.pkl,
LightGBM_High_Signal,estimated_external_inference_from_clean_per_row_speed,"SETD/S4 real 105,000 external estimated inference",V5,105000,64,0.0,0.009210600001097191,0.9903847799992945,0.9903847799992945,0.9903847799992945,106019.39985393838,9.432235999993281,SETC/S2 clean full featured,docs\LightGBM\SETC\clean_dataset\S2\V5\models\model_lgbm_s2_v5_lightgbm.pkl,
