customer_id,order_id,order_date,current_order_is_returned,manual_prior_order_count,manual_prior_return_count,manual_prior_return_rate,dataset_hist_order_count,dataset_hist_return_rate,hist_count_match,hist_rate_abs_diff,formula_note
C0086,ORD04750,2026-04-15 02:00:00,0,9,1,0.111111,9,0.11,True,0.00111111,1/9 = 0.1111
C0334,ORD00394,2025-02-07 21:00:00,0,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0334,ORD00407,2025-02-09 02:00:00,0,1,0,0.0,1,0.0,True,0.0,0/1 = 0.0000
C0334,ORD00864,2025-03-23 14:00:00,0,2,0,0.0,2,0.0,True,0.0,0/2 = 0.0000
C0334,ORD02695,2025-09-26 08:00:00,0,3,0,0.0,3,0.0,True,0.0,0/3 = 0.0000
C0334,ORD02925,2025-10-17 12:00:00,0,4,0,0.0,4,0.0,True,0.0,0/4 = 0.0000
C0334,ORD02979,2025-10-24 08:00:00,0,5,0,0.0,5,0.0,True,0.0,0/5 = 0.0000
C0334,ORD03081,2025-11-04 12:00:00,1,6,0,0.0,6,0.0,True,0.0,0/6 = 0.0000
C0334,ORD03974,2026-01-28 12:00:00,0,7,1,0.142857,7,0.14,True,0.00285714,1/7 = 0.1429
C0334,ORD04778,2026-04-17 13:00:00,0,8,1,0.125,8,0.13,True,0.005,1/8 = 0.1250
C0094,ORD01482,2025-05-26 00:00:00,1,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0094,ORD02109,2025-07-29 01:00:00,0,1,1,1.0,1,1.0,True,0.0,1/1 = 1.0000
C0094,ORD02719,2025-09-28 09:00:00,1,2,1,0.5,2,0.5,True,0.0,1/2 = 0.5000
C0094,ORD03252,2025-11-22 02:00:00,1,3,2,0.666667,3,0.67,True,0.00333333,2/3 = 0.6667
C0094,ORD03983,2026-01-29 08:00:00,1,4,3,0.75,4,0.75,True,0.0,3/4 = 0.7500
C0094,ORD04123,2026-02-11 15:00:00,0,5,4,0.8,5,0.8,True,0.0,4/5 = 0.8000
C0094,ORD04523,2026-03-22 01:00:00,1,6,4,0.666667,6,0.67,True,0.00333333,4/6 = 0.6667
C0094,ORD04595,2026-03-31 03:00:00,0,7,5,0.714286,7,0.71,True,0.00428571,5/7 = 0.7143
C0163,ORD00027,2025-01-04 21:00:00,0,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0163,ORD00253,2025-01-25 17:00:00,1,1,0,0.0,1,0.0,True,0.0,0/1 = 0.0000
C0163,ORD00554,2025-02-21 19:00:00,0,2,1,0.5,2,0.5,True,0.0,1/2 = 0.5000
C0163,ORD00879,2025-03-25 03:00:00,1,3,1,0.333333,3,0.33,True,0.00333333,1/3 = 0.3333
C0163,ORD01449,2025-05-21 22:00:00,0,4,2,0.5,4,0.5,True,0.0,2/4 = 0.5000
C0163,ORD03085,2025-11-05 06:00:00,1,5,2,0.4,5,0.4,True,0.0,2/5 = 0.4000
C0163,ORD03165,2025-11-13 08:00:00,0,6,3,0.5,6,0.5,True,0.0,3/6 = 0.5000
C0052,ORD00009,2025-01-01 21:00:00,0,0,0,0.0,0,0.0,True,0.0,0 prior orders => 0
C0052,ORD00977,2025-04-03 20:00:00,1,1,0,0.0,1,0.0,True,0.0,0/1 = 0.0000
C0052,ORD01181,2025-04-22 08:00:00,0,2,1,0.5,2,0.5,True,0.0,1/2 = 0.5000
C0052,ORD02914,2025-10-16 10:00:00,1,3,1,0.333333,3,0.33,True,0.00333333,1/3 = 0.3333
C0052,ORD03954,2026-01-26 07:00:00,1,4,2,0.5,4,0.5,True,0.0,2/4 = 0.5000
C0052,ORD04450,2026-03-14 19:00:00,1,5,3,0.6,5,0.6,True,0.0,3/5 = 0.6000
