encoded_feature,importance
cat__brand_DenimCo,0.005117148
cat__province_payment_Chiang Mai_COD,0.005111672
cat__province_Chiang Mai,0.005051947
cat__category_channel_Cosmetics_Shopee,0.0050457255
cat__category_Electronics,0.00504564
cat__tier_payment_Bronze_Credit_Card,0.0050270767
cat__category_channel_Supplement_TV_Show,0.005017421
cat__province_payment_Khon Kaen_Bank_Transfer,0.004976313
cat__category_channel_Electronics_Mobile_App,0.0049759494
cat__tier_payment_Silver_Bank_Transfer,0.004963248
num__is_weekend,0.004944424
cat__brand_BlendIt,0.004897438
cat__category_payment_Home_Appliance_Credit_Card,0.004888932
num__hist_return_rate_30d,0.0048594386
cat__province_payment_Nonthaburi_Bank_Transfer,0.004839991
cat__province_payment_Chiang Mai_Credit_Card,0.0048288656
num__campaign_discount_pct,0.004825302
cat__province_Chonburi,0.0047894763
cat__category_Home_Appliance,0.004776218
cat__province_payment_Remote_Area_Bank_Transfer,0.004765136
num__promo_discount_rate,0.004762736
cat__brand_OmegaPlus,0.0047242283
cat__province_payment_Remote_Area_Credit_Card,0.004700503
cat__category_payment_Supplement_Credit_Card,0.004684694
cat__province_payment_Bangkok_COD,0.0046678665
cat__province_payment_Khon Kaen_Credit_Card,0.004665242
num__hist_return_count_180d,0.0046439273
cat__category_channel_Home_Appliance_TikTok,0.0046424237
cat__age_group_40-50,0.0046167853
cat__gender_Female,0.00459871
cat__category_channel_Cosmetics_TikTok,0.004588072
cat__preferred_channel_App,0.0045856587
num__days_since_last_return,0.004565275
cat__category_payment_Electronics_Bank_Transfer,0.0045524533
cat__category_channel_Fashion_TV_Show,0.0045452737
num__hist_return_count_90d,0.004535224
num__hist_return_rate_90d,0.0045336513
cat__brand_SoundMax,0.004532764
cat__brand_HomePro,0.004520585
cat__tier_payment_Gold_Bank_Transfer,0.0045091095
cat__province_payment_Songkhla_Credit_Card,0.004487323
cat__category_payment_Cosmetics_Credit_Card,0.004483247
cat__tier_payment_Bronze_COD,0.0044651483
cat__province_Songkhla,0.0044616396
num__hist_spend_sum_30d,0.0044186967
cat__province_payment_Nonthaburi_Credit_Card,0.0044152103
cat__province_payment_Nonthaburi_COD,0.0044097113
num__is_bank_transfer,0.0044034193
cat__province_Phuket,0.004394142
cat__age_group_30-40,0.004378311
num__order_hour,0.00435516
cat__channel_type_TV_Show,0.0043369774
cat__province_Nonthaburi,0.004335143
num__discount_applied_amount,0.0043321387
cat__province_payment_Chonburi_COD,0.004331812
cat__tier_payment_Platinum_Credit_Card,0.0043158857
num__hist_spend_sum_90d,0.0043071555
cat__payment_method_Credit_Card,0.0043051275
cat__province_payment_Khon Kaen_COD,0.0042979815
cat__preferred_channel_TV,0.004293116
cat__preferred_channel_LINE,0.004292946
num__hist_order_count_180d,0.0042842696
num__hist_order_count_365d,0.004276741
cat__gender_Other,0.0042747017
cat__channel_type_Mobile_App,0.0042714975
cat__province_payment_Chonburi_Bank_Transfer,0.0042542755
cat__gender_Male,0.0042364975
cat__category_channel_Fashion_Shopee,0.0042364155
num__hist_spend_sum_365d,0.0042362595
cat__province_payment_Phuket_Credit_Card,0.004197463
cat__brand_SunSafe,0.00419316
num__customer_age_days,0.004184472
num__order_month,0.0041776197
cat__category_payment_Fashion_Credit_Card,0.004174379
num__amount_per_item,0.0041736662
num__hist_return_rate_180d,0.004150756
cat__brand_CookEasy,0.004145645
num__hist_spend_sum_180d,0.004134635
cat__category_channel_Home_Appliance_TV_Show,0.004131923
num__hist_spend_sum_60d,0.004128089
cat__category_channel_Electronics_Shopee,0.004114157
num__days_since_last_order,0.004102486
cat__category_payment_Fashion_Bank_Transfer,0.0040958393
num__total_amount,0.0040790695
num__unit_price,0.00405337
cat__tier_payment_Platinum_COD,0.0040425737
cat__category_payment_Supplement_Bank_Transfer,0.0040036
num__hist_return_rate_60d,0.0039943787
num__hist_order_count_90d,0.0039810613
cat__brand_AromaX,0.0039764512
cat__brand_TimeX,0.0039751637
cat__tier_payment_Platinum_Bank_Transfer,0.0039442265
num__hist_order_count_30d,0.0039333086
num__hist_order_count,0.0039288956
cat__province_Khon Kaen,0.0039267037
num__age,0.0038968779
cat__channel_type_Shopee,0.0038506836
num__hist_return_count_365d,0.0038444526
cat__province_payment_Phuket_Bank_Transfer,0.0038223187
cat__courier_type_Standard,0.0038094902
num__order_dayofweek,0.0038067163
cat__tier_payment_Gold_Credit_Card,0.0037438825
num__customer_tenure_months,0.0037437081
cat__brand_GlowUp,0.0036067618
cat__province_payment_Songkhla_COD,0.0036006302
cat__category_channel_Home_Appliance_Shopee,0.0035974854
cat__province_payment_Phuket_COD,0.00359296
cat__brand_RunFast,0.0035675536
cat__channel_type_TikTok,0.0035547244
cat__brand_VitaBoost,0.0035542217
cat__category_payment_Electronics_Credit_Card,0.0035393608
num__log_total_amount,0.0035390675
cat__province_payment_Songkhla_Bank_Transfer,0.0035084502
cat__category_channel_Fashion_Mobile_App,0.0034840906
cat__province_payment_Chiang Mai_Bank_Transfer,0.003477332
cat__category_channel_Home_Appliance_Mobile_App,0.00346456
cat__category_channel_Electronics_TV_Show,0.0033863485
num__is_credit_card,0.0033005746
num__hist_return_count_30d,0.003249132
cat__brand_SkinLab,0.0032471006
cat__preferred_channel_Web,0.0031845625
cat__category_channel_Cosmetics_TV_Show,0.0031631861
cat__province_payment_Chonburi_Credit_Card,0.0031415871
num__quantity,0.0031235076
cat__category_payment_Supplement_COD,0.0030999822
num__hist_order_count_60d,0.0030064408
cat__membership_tier_Platinum,0.0
cat__membership_tier_Bronze,0.0
num__high_value_order,0.0
cat__brand_PureAir,0.0
cat__promo_type_Campaign,0.0
cat__courier_type_Express,0.0
cat__brand_UniStyle,0.0
cat__courier_type_Eco,0.0
cat__coverage_region_Bangkok Only,0.0
cat__coverage_region_Nationwide,0.0
cat__promo_type_No Promotion,0.0
cat__category_channel_Cosmetics_Mobile_App,0.0
