column,dtype,non_null_count,missing_count,unique_count,sample_values
order_hour,int64,6672,0,24,8 | 12 | 8 | 8 | 7
category_payment_Fashion_Bank_Transfer,bool,6672,0,2,False | False | False | False | False
category_payment_Fashion_COD,bool,6672,0,2,False | False | False | False | False
category_payment_Fashion_Credit_Card,bool,6672,0,2,False | False | False | False | False
category_payment_Home_Appliance_Bank_Transfer,bool,6672,0,2,True | False | False | False | False
category_payment_Home_Appliance_COD,bool,6672,0,2,False | False | False | False | False
category_payment_Home_Appliance_Credit_Card,bool,6672,0,2,False | True | False | False | False
category_payment_Supplement_Bank_Transfer,bool,6672,0,2,False | False | False | False | False
category_payment_Supplement_COD,bool,6672,0,2,False | False | False | False | False
category_payment_Supplement_Credit_Card,bool,6672,0,2,False | False | False | True | False
category_channel_Cosmetics_Shopee,bool,6672,0,2,False | False | False | False | False
category_channel_Cosmetics_TV_Show,bool,6672,0,2,False | False | False | False | False
category_channel_Cosmetics_TikTok,bool,6672,0,2,False | False | False | False | False
category_channel_Electronics_Mobile_App,bool,6672,0,2,False | False | False | False | False
category_channel_Electronics_Shopee,bool,6672,0,2,False | False | False | False | False
category_channel_Electronics_TV_Show,bool,6672,0,2,False | False | True | False | True
category_channel_Electronics_TikTok,bool,6672,0,2,False | False | False | False | False
category_channel_Fashion_Mobile_App,bool,6672,0,2,False | False | False | False | False
category_channel_Fashion_Shopee,bool,6672,0,2,False | False | False | False | False
category_channel_Fashion_TV_Show,bool,6672,0,2,False | False | False | False | False
category_channel_Fashion_TikTok,bool,6672,0,2,False | False | False | False | False
category_channel_Home_Appliance_Mobile_App,bool,6672,0,2,False | False | False | False | False
category_channel_Home_Appliance_Shopee,bool,6672,0,2,False | False | False | False | False
category_channel_Home_Appliance_TV_Show,bool,6672,0,2,False | False | False | False | False
category_channel_Home_Appliance_TikTok,bool,6672,0,2,True | True | False | False | False
category_channel_Supplement_Mobile_App,bool,6672,0,2,False | False | False | True | False
category_channel_Supplement_Shopee,bool,6672,0,2,False | False | False | False | False
category_channel_Supplement_TV_Show,bool,6672,0,2,False | False | False | False | False
category_channel_Supplement_TikTok,bool,6672,0,2,False | False | False | False | False
province_payment_Bangkok_COD,bool,6672,0,2,False | False | False | False | False
province_payment_Bangkok_Credit_Card,bool,6672,0,2,False | False | False | False | False
province_payment_Chiang Mai_Bank_Transfer,bool,6672,0,2,False | False | False | False | False
province_payment_Chiang Mai_COD,bool,6672,0,2,False | False | False | False | False
province_payment_Chiang Mai_Credit_Card,bool,6672,0,2,False | False | False | True | False
province_payment_Chonburi_Bank_Transfer,bool,6672,0,2,True | False | False | False | True
province_payment_Chonburi_COD,bool,6672,0,2,False | False | False | False | False
province_payment_Chonburi_Credit_Card,bool,6672,0,2,False | False | False | False | False
province_payment_Khon Kaen_Bank_Transfer,bool,6672,0,2,False | False | True | False | False
province_payment_Khon Kaen_COD,bool,6672,0,2,False | False | False | False | False
province_payment_Khon Kaen_Credit_Card,bool,6672,0,2,False | True | False | False | False
province_payment_Nonthaburi_Bank_Transfer,bool,6672,0,2,False | False | False | False | False
province_payment_Nonthaburi_COD,bool,6672,0,2,False | False | False | False | False
province_payment_Nonthaburi_Credit_Card,bool,6672,0,2,False | False | False | False | False
province_payment_Phuket_Bank_Transfer,bool,6672,0,2,False | False | False | False | False
province_payment_Phuket_COD,bool,6672,0,2,False | False | False | False | False
province_payment_Phuket_Credit_Card,bool,6672,0,2,False | False | False | False | False
province_payment_Remote_Area_Bank_Transfer,bool,6672,0,2,False | False | False | False | False
province_payment_Remote_Area_COD,bool,6672,0,2,False | False | False | False | False
province_payment_Remote_Area_Credit_Card,bool,6672,0,2,False | False | False | False | False
province_payment_Songkhla_Bank_Transfer,bool,6672,0,2,False | False | False | False | False
province_payment_Songkhla_COD,bool,6672,0,2,False | False | False | False | False
province_payment_Songkhla_Credit_Card,bool,6672,0,2,False | False | False | False | False
is_returned,int64,6672,0,2,1 | 1 | 0 | 1 | 1
dataset_split,str,6672,0,2,train | train | train | train | train
